Gene1,Gene2,score
G67,G92,0.561779106856725
G67,G167,0.5514955201758712
G67,G223,0.5462724336379943
G67,G86,0.5440452416681812
G67,G126,0.519942226373292
G253,G315,0.512801261071824
G84,G199,0.49341272646352613
G253,G335,0.47735720636947127
G253,G336,0.4761707815502189
G67,G131,0.47424419794176703
G67,G390,0.47282743813203776
G67,G87,0.46700514938427223
G246,G67,0.4612458761568365
G67,G340,0.4601943046301943
G277,G331,0.4497245443458624
G102,G221,0.44668939723427126
G253,G198,0.4443567632158789
G331,G277,0.4407838485393229
G253,G278,0.4386936507698701
G331,G212,0.4334805751411608
G67,G312,0.4323308228218617
G150,G138,0.4235193720330684
G67,G246,0.4191331613470754
G373,G253,0.4179568249330603
G84,G238,0.41659988189016517
G253,G373,0.41229817868058943
G84,G364,0.4120393875222487
G238,G84,0.40749757497303984
G144,G242,0.40688902914003955
G102,G157,0.40388783123267435
G144,G169,0.40297740700450696
G253,G144,0.3979131405510405
G253,G352,0.39271502547053605
G102,G80,0.3918585701115776
G80,G102,0.3915207241275122
G102,G256,0.39073271058586917
G67,G234,0.38854031600843514
G80,G190,0.38711717799260265
G302,G316,0.38430056437697213
G84,G218,0.37871184728035195
G253,G330,0.3774614607515112
G253,G39,0.3730825426555432
G84,G241,0.3691574351862072
G84,G344,0.36797052454045365
G67,G363,0.36087138946719677
G331,G372,0.3604221422945205
G144,G267,0.3504544365827826
G144,G228,0.3493037785703991
G84,G287,0.34802320252625907
G144,G376,0.3423384942017068
G69,G288,0.34184030716633373
G253,G324,0.34173217383704046
G47,G321,0.3376134288434417
G253,G341,0.33652028607865414
G253,G300,0.3322497830147878
G102,G135,0.332003532325009
G302,G280,0.33195920371975574
G144,G179,0.32945152623994667
G84,G283,0.3286390281385132
G67,G259,0.3277407734368455
G253,G150,0.3233964539300963
G331,G196,0.3208514392145935
G102,G375,0.32018093434182904
G84,G244,0.3200241908015137
G253,G168,0.3192019940784633
G67,G75,0.3175867596493318
G253,G53,0.3133995540267177
G67,G99,0.3112118111603239
G144,G349,0.31081434481779735
G47,G388,0.31037454616419463
G69,G153,0.3101832712895307
G84,G338,0.30876280279971563
G84,G104,0.3079570898397137
G84,G145,0.3071913739552414
G80,G357,0.3062806358315071
G144,G156,0.3044190101800628
G67,G185,0.30373061427461207
G253,G165,0.2996711797265835
G47,G142,0.29954114232582146
G102,G299,0.2934655821687159
G253,G109,0.28973519716516116
G84,G229,0.2874946832406424
G84,G334,0.28570028995029256
G144,G112,0.28556563176665695
G84,G57,0.28550891540013
G144,G369,0.28521745127619674
G331,G71,0.2844400246272353
G67,G205,0.2817762277977985
G69,G141,0.27949661351234295
G253,G273,0.27923371392887
G84,G118,0.2766013328709097
G144,G204,0.2762603349993769
G253,G103,0.27542489380783036
G47,G296,0.2734661125009979
G47,G342,0.27325497890501965
G253,G271,0.27051860512233666
G84,G302,0.26902890428929876
G47,G258,0.26574963592466944
G47,G323,0.26483792648445204
G398,G69,0.26231708766307016
G253,G317,0.2622804500661628
G102,G183,0.2590201976627759
G80,G88,0.25700439941008857
G144,G211,0.2553629536452605
G84,G46,0.2547728446896673
G253,G308,0.2547593044812329
G47,G276,0.25317744389902175
